epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
120,0.09179695,0.10890339,0.07874035,0.07933041,0.09468564,0.07927443,1.40746442e-01,5.11956458e-01,2.28089717e-01,8.93200986e-02
121,0.09156998,0.10948917,0.07864545,0.07934576,0.09442819,0.07926746,1.40554766e-01,5.09477893e-01,2.26441297e-01,8.93201636e-02
122,0.09156677,0.10863125,0.07871637,0.07922524,0.09437908,0.07925069,1.40305817e-01,5.08641389e-01,2.23179404e-01,8.96295450e-02
123,0.09146990,0.10946437,0.07861081,0.07937377,0.09423730,0.07925085,1.40944882e-01,5.00451175e-01,2.21394908e-01,8.90078285e-02
124,0.09130670,0.10950305,0.07854444,0.07934624,0.09403200,0.07924835,1.41002718e-01,4.98275563e-01,2.18414938e-01,8.88536153e-02
125,0.09126151,0.10910264,0.07851802,0.07939086,0.09394424,0.07924837,1.41329306e-01,4.92950486e-01,2.16258756e-01,8.87294401e-02
126,0.09122130,0.10916545,0.07854323,0.07934813,0.09387115,0.07924637,1.41169046e-01,4.89536621e-01,2.14562117e-01,8.83221776e-02
127,0.09114687,0.10894225,0.07851681,0.07913874,0.09375060,0.07922233,1.41069489e-01,4.80150807e-01,2.12292927e-01,8.83878399e-02
128,0.09092452,0.10852055,0.07836858,0.07923307,0.09349535,0.07920659,1.41414442e-01,4.77993585e-01,2.10369819e-01,8.81327319e-02
129,0.09085212,0.10938709,0.07840592,0.07945728,0.09338157,0.07921739,1.41194256e-01,4.74445518e-01,2.08021719e-01,8.76906797e-02
130,0.09095410,0.10898060,0.07839216,0.07945203,0.09343538,0.07922889,1.41031002e-01,4.65480103e-01,2.05704149e-01,8.74066928e-02
131,0.09086136,0.10905362,0.07837163,0.07947792,0.09331090,0.07924218,1.41493157e-01,4.62525162e-01,2.04030683e-01,8.72658631e-02
132,0.09083992,0.10886288,0.07838589,0.07927764,0.09325511,0.07923061,1.41442710e-01,4.58339741e-01,2.01953286e-01,8.70415596e-02
133,0.09062216,0.10841317,0.07831073,0.07916764,0.09300576,0.07921368,1.41471239e-01,4.55732753e-01,1.99553972e-01,8.72432001e-02
134,0.09069770,0.10793229,0.07833858,0.07907011,0.09305059,0.07918919,1.41702276e-01,4.49813004e-01,1.97845085e-01,8.67805742e-02
135,0.09049048,0.10909518,0.07822483,0.07927114,0.09281029,0.07918614,1.41842987e-01,4.45991592e-01,1.96378444e-01,8.64227890e-02
136,0.09054456,0.10860815,0.07820510,0.07933172,0.09282778,0.07918613,1.41601102e-01,4.42320984e-01,1.94423974e-01,8.61491053e-02
137,0.09041345,0.10855202,0.07818464,0.07935225,0.09266585,0.07919427,1.41709457e-01,4.36213012e-01,1.92701401e-01,8.57101806e-02
138,0.09026211,0.10871249,0.07811002,0.07944794,0.09249019,0.07920313,1.41819468e-01,4.34268861e-01,1.91358416e-01,8.52386573e-02
139,0.09031694,0.10869525,0.07815557,0.07943496,0.09251264,0.07921260,1.42131182e-01,4.30945931e-01,1.89094351e-01,8.52202615e-02
140,0.09011483,0.10850334,0.07809065,0.07933333,0.09228673,0.07921026,1.42140345e-01,4.30025424e-01,1.86554466e-01,8.50466906e-02
141,0.08991888,0.10751550,0.07799154,0.07913443,0.09206591,0.07919436,1.42071057e-01,4.24026384e-01,1.85577310e-01,8.50030695e-02
142,0.08996226,0.10792642,0.07802118,0.07914695,0.09208340,0.07917627,1.42373363e-01,4.20967026e-01,1.83882604e-01,8.44447087e-02
143,0.08992359,0.10805027,0.07800068,0.07912094,0.09201053,0.07915764,1.42295192e-01,4.14917964e-01,1.82218125e-01,8.44444218e-02
144,0.08995108,0.10838244,0.07801681,0.07925129,0.09201535,0.07915307,1.42510813e-01,4.12758517e-01,1.80223832e-01,8.40934170e-02
145,0.08971017,0.10847023,0.07790684,0.07922751,0.09174142,0.07915213,1.42218311e-01,4.07040511e-01,1.79235138e-01,8.37480565e-02
146,0.08977741,0.10819130,0.07795473,0.07916065,0.09179115,0.07914283,1.42668468e-01,4.04537636e-01,1.77606197e-01,8.35002096e-02
147,0.08977655,0.10831069,0.07791288,0.07924585,0.09176360,0.07913760,1.42462736e-01,4.01126132e-01,1.76097613e-01,8.36991570e-02
148,0.08954471,0.10842723,0.07783863,0.07923727,0.09151002,0.07913728,1.42650846e-01,3.98167424e-01,1.74616578e-01,8.31476352e-02
149,0.08953648,0.10820019,0.07783268,0.07927232,0.09148294,0.07914031,1.42607386e-01,3.94559843e-01,1.73391057e-01,8.29309390e-02
150,0.08943037,0.10808726,0.07778598,0.07921459,0.09135664,0.07913760,1.42942052e-01,3.94524603e-01,1.71756006e-01,8.25238135e-02
151,0.08967725,0.10806663,0.07789961,0.07916559,0.09157725,0.07912847,1.42752205e-01,3.89126198e-01,1.70124027e-01,8.24427064e-02
152,0.08938339,0.10848131,0.07775384,0.07940634,0.09126261,0.07914496,1.42790575e-01,3.85496823e-01,1.68931046e-01,8.24940317e-02
153,0.08956675,0.10868260,0.07784648,0.07941689,0.09142730,0.07915982,1.42510123e-01,3.83611843e-01,1.68005652e-01,8.19055062e-02
154,0.08943816,0.10791214,0.07778673,0.07916758,0.09127822,0.07914827,1.42943045e-01,3.78458248e-01,1.66623207e-01,8.14294357e-02
155,0.08942929,0.10813829,0.07779300,0.07930623,0.09124490,0.07914738,1.42398331e-01,3.76299901e-01,1.65374328e-01,8.15329162e-02
156,0.08921161,0.10795846,0.07770664,0.07919272,0.09101419,0.07914147,1.42995359e-01,3.72939958e-01,1.63992950e-01,8.10640238e-02
157,0.08920205,0.10788591,0.07767426,0.07919093,0.09098528,0.07913352,1.42798987e-01,3.68914225e-01,1.63089128e-01,8.10610715e-02
158,0.08919651,0.10846588,0.07769947,0.07930743,0.09095823,0.07913873,1.43339898e-01,3.67065523e-01,1.61328995e-01,8.05665780e-02
159,0.08901279,0.10793844,0.07760373,0.07927143,0.09076097,0.07913831,1.43217520e-01,3.66180238e-01,1.60452200e-01,8.05407369e-02
160,0.08904149,0.10765618,0.07761794,0.07922400,0.09077004,0.07913729,1.43144562e-01,3.63816707e-01,1.59418342e-01,8.01519300e-02
161,0.08898404,0.10794872,0.07760772,0.07933727,0.09069787,0.07914512,1.43206248e-01,3.60420934e-01,1.58187493e-01,7.97290210e-02
162,0.08901258,0.10831025,0.07758542,0.07938920,0.09071266,0.07915728,1.43659860e-01,3.57570630e-01,1.57237998e-01,7.96510390e-02
163,0.08883759,0.10812413,0.07755362,0.07933007,0.09050923,0.07916395,1.43424669e-01,3.52541982e-01,1.55793491e-01,7.94360570e-02
164,0.08868097,0.10776984,0.07749648,0.07913560,0.09034520,0.07915084,1.43489022e-01,3.50988317e-01,1.54913617e-01,7.94636478e-02
165,0.08882811,0.10722186,0.07755112,0.07913960,0.09047329,0.07913753,1.43423912e-01,3.48175055e-01,1.53568341e-01,7.90854014e-02
166,0.08868206,0.10781082,0.07752188,0.07920338,0.09031215,0.07913606,1.43402628e-01,3.44668356e-01,1.52938228e-01,7.84826789e-02
167,0.08858667,0.10661207,0.07745646,0.07898762,0.09020662,0.07911042,1.43677036e-01,3.45235661e-01,1.51951663e-01,7.86127188e-02
168,0.08846135,0.10794215,0.07737059,0.07925087,0.09006531,0.07911110,1.43664093e-01,3.40385900e-01,1.50764487e-01,7.82341305e-02
169,0.08858535,0.10798047,0.07743635,0.07920783,0.09016947,0.07911040,1.43566609e-01,3.38276968e-01,1.49267383e-01,7.82261647e-02
170,0.08866935,0.10740392,0.07750990,0.07910849,0.09024473,0.07909982,1.43483693e-01,3.35079255e-01,1.48998134e-01,7.79120106e-02
171,0.08858935,0.10762576,0.07744159,0.07926978,0.09015044,0.07910613,1.43618256e-01,3.34193231e-01,1.47958239e-01,7.76137173e-02
172,0.08838307,0.10804928,0.07736543,0.07920915,0.08993093,0.07910399,1.43755485e-01,3.30021033e-01,1.46846531e-01,7.75675385e-02
173,0.08836131,0.10811042,0.07734755,0.07922435,0.08990033,0.07910484,1.43755667e-01,3.29606540e-01,1.45981380e-01,7.71835831e-02
174,0.08827613,0.10764054,0.07733066,0.07919296,0.08979982,0.07910417,1.43567988e-01,3.26322780e-01,1.45215889e-01,7.69674332e-02
175,0.08833467,0.10733460,0.07733975,0.07899094,0.08984577,0.07908097,1.43926007e-01,3.24923908e-01,1.44380833e-01,7.65557623e-02
176,0.08827036,0.10700038,0.07730435,0.07903056,0.08976940,0.07906913,1.43887020e-01,3.21355194e-01,1.43877116e-01,7.61005415e-02
177,0.08825209,0.10734261,0.07732789,0.07898530,0.08973846,0.07904958,1.43909971e-01,3.20477031e-01,1.43062961e-01,7.57705904e-02
178,0.08810759,0.10775626,0.07723980,0.07921801,0.08958836,0.07905151,1.44442087e-01,3.19081961e-01,1.42095120e-01,7.57613654e-02
179,0.08826233,0.10804832,0.07730572,0.07929015,0.08972780,0.07906317,1.44110101e-01,3.16183159e-01,1.41339858e-01,7.53698436e-02
180,0.08806518,0.10764844,0.07724620,0.07915672,0.08952288,0.07905715,1.44336430e-01,3.14251128e-01,1.40838418e-01,7.52648768e-02
181,0.08821171,0.10761387,0.07728900,0.07920358,0.08965036,0.07906104,1.43916009e-01,3.12063296e-01,1.39594022e-01,7.52668113e-02
182,0.08810018,0.10709982,0.07724377,0.07904892,0.08952986,0.07905048,1.44177295e-01,3.09487596e-01,1.38707620e-01,7.48240300e-02
