epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
182,0.08426274,0.11535528,0.07567294,0.08193457,0.08932605,1.54935459e-01,4.62285392e-01,2.07825948e-01,8.76717295e-02
183,0.08398025,0.11525393,0.07557842,0.08185475,0.08901414,1.54897923e-01,4.59014461e-01,2.07197399e-01,8.76468617e-02
184,0.08401792,0.11559466,0.07558623,0.08178278,0.08902237,1.55356769e-01,4.57774240e-01,2.05952446e-01,8.74155639e-02
185,0.08384815,0.11538472,0.07552586,0.08181674,0.08882200,1.55368047e-01,4.57076525e-01,2.05076361e-01,8.70554593e-02
186,0.08389286,0.11554009,0.07551083,0.08191477,0.08881971,1.55449008e-01,4.53371168e-01,2.03811939e-01,8.70516242e-02
187,0.08384909,0.11546276,0.07553219,0.08190693,0.08873642,1.55608111e-01,4.50598147e-01,2.02592455e-01,8.66827120e-02
188,0.08361426,0.11463451,0.07542125,0.08174910,0.08846681,1.55529929e-01,4.50898784e-01,2.01286212e-01,8.69149608e-02
189,0.08359802,0.11577593,0.07542864,0.08209153,0.08842068,1.55179371e-01,4.47516742e-01,2.00823894e-01,8.63155449e-02
190,0.08361483,0.11495550,0.07542302,0.08174486,0.08839651,1.55369943e-01,4.45674719e-01,1.99453387e-01,8.63383259e-02
191,0.08350000,0.11451274,0.07537305,0.08168378,0.08825558,1.55578438e-01,4.44578944e-01,1.98603601e-01,8.60291298e-02
192,0.08343554,0.11467795,0.07532973,0.08157800,0.08815409,1.55808803e-01,4.41505709e-01,1.97281167e-01,8.59670081e-02
193,0.08333323,0.11506923,0.07532061,0.08188996,0.08799956,1.56050229e-01,4.37406909e-01,1.96014895e-01,8.57498349e-02
194,0.08328135,0.11496831,0.07530103,0.08178355,0.08791731,1.55586090e-01,4.37208319e-01,1.95237880e-01,8.53598500e-02
195,0.08313799,0.11536549,0.07523854,0.08188668,0.08774613,1.55883382e-01,4.35780186e-01,1.94070411e-01,8.54971420e-02
196,0.08320928,0.11502865,0.07527352,0.08177791,0.08778701,1.55550717e-01,4.33606255e-01,1.93299486e-01,8.50626977e-02
197,0.08283900,0.11484170,0.07511166,0.08170778,0.08737577,1.56154308e-01,4.30125025e-01,1.91897611e-01,8.48332281e-02
198,0.08296892,0.11524698,0.07513142,0.08173607,0.08746408,1.55980238e-01,4.30370876e-01,1.90486281e-01,8.48559189e-02
199,0.08298559,0.11429711,0.07515885,0.08158923,0.08746350,1.56019395e-01,4.26887854e-01,1.89935382e-01,8.49116301e-02
