epoch,train_loss,val_loss,train_rmse,val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
200,0.09763894,0.09802519,0.30667281,0.07497282,1.26918482e-01,1.10909737e-01,8.06821905e-02,2.96007915e-02
201,0.09748444,0.09807020,0.30640014,0.07520374,1.27248356e-01,1.11170292e-01,8.07065121e-02,2.96564594e-02
202,0.09755831,0.09831631,0.30653073,0.07522063,1.26930205e-01,1.11794172e-01,8.04528485e-02,2.95761543e-02
203,0.09736982,0.09859627,0.30619404,0.07516177,1.27127531e-01,1.11771913e-01,8.07026274e-02,2.95512468e-02
204,0.09734016,0.09832793,0.30615213,0.07507720,1.27210758e-01,1.11300741e-01,8.05678720e-02,2.95983345e-02
205,0.09741772,0.09807743,0.30629922,0.07506876,1.26909866e-01,1.11170216e-01,8.05932528e-02,2.95598194e-02
206,0.09729087,0.09799540,0.30609191,0.07512421,1.27085215e-01,1.11196314e-01,8.04223188e-02,2.95673136e-02
207,0.09725594,0.09788087,0.30602320,0.07499016,1.27066577e-01,1.11766477e-01,8.05623318e-02,2.96558141e-02
208,0.09735633,0.09816969,0.30619070,0.07506452,1.27117825e-01,1.11113689e-01,8.04610055e-02,2.96117488e-02
209,0.09740873,0.09810079,0.30629056,0.07505334,1.26935195e-01,1.11235327e-01,8.05225957e-02,2.97501930e-02
210,0.09711634,0.09813673,0.30580521,0.07506044,1.27060530e-01,1.11056298e-01,8.05332946e-02,2.96641430e-02
211,0.09745751,0.09872019,0.30634302,0.07517138,1.27198127e-01,1.11687407e-01,8.04052691e-02,2.97122707e-02
212,0.09744172,0.09822502,0.30631276,0.07514771,1.27108501e-01,1.12084048e-01,8.03757103e-02,2.97909688e-02
213,0.09737253,0.09783818,0.30618203,0.07498035,1.27064704e-01,1.12661621e-01,8.03783591e-02,2.96647887e-02
214,0.09738908,0.09838762,0.30622566,0.07516311,1.27094330e-01,1.11835458e-01,8.04215061e-02,2.97262567e-02
215,0.09721847,0.09845897,0.30592659,0.07524322,1.27165763e-01,1.12279288e-01,8.03892283e-02,2.97899562e-02
216,0.09722650,0.09898379,0.30596344,0.07521227,1.26866953e-01,1.11734945e-01,8.05391293e-02,2.98906623e-02
217,0.09716421,0.09823406,0.30584801,0.07507256,1.27317613e-01,1.12012203e-01,8.03962871e-02,2.97379332e-02
218,0.09708368,0.09779322,0.30568703,0.07497052,1.27449787e-01,1.13118282e-01,8.04605912e-02,2.99115380e-02
219,0.09705297,0.09830736,0.30565515,0.07516660,1.27291226e-01,1.12406993e-01,8.04957355e-02,2.97337843e-02
