architecture,epoch,train_rmse,val_rmse,overfit_gap
Physics-Reg.,16,0.126042,0.0960151,-0.0300271
Physics-Reg.,17,0.123366,0.0951624,-0.028204
Physics-Reg.,18,0.120667,0.0948334,-0.0258332
Physics-Reg.,19,0.11857,0.0939663,-0.0246037
Physics-Reg.,20,0.117033,0.0931669,-0.0238664
Physics-Reg.,21,0.116007,0.092587,-0.0234203
Physics-Reg.,22,0.114908,0.0926569,-0.0222512
Physics-Reg.,23,0.114168,0.0921354,-0.0220325
Physics-Reg.,24,0.113198,0.0921214,-0.0210771
Physics-Reg.,25,0.11284,0.0920901,-0.0207495
Physics-Reg.,26,0.112493,0.0920067,-0.0204859
Physics-Reg.,27,0.112286,0.0918071,-0.0204789
Physics-Reg.,28,0.112178,0.0917837,-0.0203939
Physics-Reg.,29,0.111846,0.0917331,-0.0201134
Physics-Reg.,30,0.111785,0.0917259,-0.0200593
Physics-Reg.,31,0.111451,0.0917977,-0.0196533
Physics-Reg.,32,0.110507,0.0907756,-0.0197317
Physics-Reg.,33,0.109968,0.090621,-0.0193469
Physics-Reg.,34,0.109502,0.0903709,-0.0191306
Physics-Reg.,35,0.108287,0.0900684,-0.018219
Physics-Reg.,36,0.107838,0.0901766,-0.0176618
Physics-Reg.,37,0.10746,0.089593,-0.0178666
Physics-Reg.,38,0.10665,0.0893021,-0.017348
Physics-Reg.,39,0.106752,0.0895031,-0.0172494
Physics-Reg.,40,0.106669,0.0895508,-0.0171181
Physics-Reg.,41,0.106359,0.0892568,-0.0171018
Physics-Reg.,42,0.106458,0.0893878,-0.0170698
Physics-Reg.,43,0.106076,0.0893117,-0.0167644
Physics-Reg.,44,0.105992,0.0893071,-0.0166847
Physics-Reg.,45,0.105563,0.0892771,-0.016286
Physics-Reg.,46,0.106024,0.0892015,-0.0168226
Physics-Reg.,47,0.105301,0.0893478,-0.015953
Physics-Reg.,48,0.105274,0.0891894,-0.016085
Physics-Reg.,49,0.104442,0.0887156,-0.0157264
Physics-Reg.,50,0.104639,0.0885603,-0.0160791
Physics-Reg.,51,0.103383,0.0880767,-0.0153061
Physics-Reg.,52,0.103449,0.0882183,-0.0152304
Physics-Reg.,53,0.102715,0.0881199,-0.0145952
Physics-Reg.,54,0.102803,0.0878595,-0.0149439
Physics-Reg.,55,0.102669,0.0879623,-0.0147062
Physics-Reg.,56,0.102848,0.087679,-0.0151686
Physics-Reg.,57,0.102437,0.0878738,-0.0145634
Physics-Reg.,58,0.102577,0.0878231,-0.0147537
Physics-Reg.,59,0.10245,0.0877666,-0.0146831
Physics-Reg.,60,0.102459,0.0877717,-0.014687
Physics-Reg.,61,0.102242,0.088209,-0.0140335
Physics-Reg.,62,0.101899,0.0875535,-0.0143458
Physics-Reg.,63,0.101502,0.0872517,-0.0142508
Physics-Reg.,64,0.101132,0.0872181,-0.013914
Physics-Reg.,65,0.101139,0.0870986,-0.0140404
Physics-Reg.,66,0.100665,0.0870746,-0.0135901
Physics-Reg.,67,0.10028,0.0867876,-0.0134926
Physics-Reg.,68,0.100149,0.086572,-0.0135772
Physics-Reg.,69,0.100035,0.0866383,-0.013397
Physics-Reg.,70,0.0996322,0.086527,-0.0131052
Physics-Reg.,71,0.0994698,0.0863727,-0.0130971
Physics-Reg.,72,0.0993853,0.0864485,-0.0129367
Physics-Reg.,73,0.099409,0.0864427,-0.0129663
Physics-Reg.,74,0.099258,0.0864466,-0.0128113
Physics-Reg.,75,0.099539,0.0863908,-0.0131482
Physics-Reg.,76,0.0994295,0.0867318,-0.0126977
Physics-Reg.,77,0.0993282,0.0864047,-0.0129235
Physics-Reg.,78,0.0988957,0.0864072,-0.0124885
Physics-Reg.,79,0.0986549,0.0860728,-0.0125821
Physics-Reg.,80,0.0985381,0.086117,-0.012421
Physics-Reg.,81,0.0981156,0.0861579,-0.0119577
Physics-Reg.,82,0.0981535,0.0858156,-0.0123379
Physics-Reg.,83,0.0975804,0.0860203,-0.0115602
Physics-Reg.,84,0.0976982,0.0854954,-0.0122028
Physics-Reg.,85,0.0974617,0.0855639,-0.0118979
Physics-Reg.,86,0.0974354,0.0854616,-0.0119737
Physics-Reg.,87,0.0977039,0.0854715,-0.0122324
Physics-Reg.,88,0.0977125,0.0854909,-0.0122216
Physics-Reg.,89,0.0968956,0.0855131,-0.0113826
Physics-Reg.,90,0.0972689,0.0855092,-0.0117597
Physics-Reg.,91,0.0974756,0.085315,-0.0121606
Physics-Reg.,92,0.0969624,0.0857695,-0.011193
Physics-Reg.,93,0.096928,0.0850087,-0.0119193
Physics-Reg.,94,0.096561,0.0852965,-0.0112645
