epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
137,0.10737442,0.11850098,0.08596026,0.08336869,0.10756583,0.08983113,0.08335110,1.32966210e-01,1.90335640e-01,1.33719182e-01,3.20760075e-02
138,0.10726298,0.11865540,0.08598558,0.08341059,0.10745388,0.08980512,0.08335573,1.32513496e-01,1.91231820e-01,1.33394384e-01,3.26074997e-02
139,0.10712934,0.11856219,0.08588505,0.08341390,0.10731978,0.08985356,0.08336002,1.32158650e-01,1.91524682e-01,1.33635180e-01,3.23624359e-02
140,0.10726053,0.11849341,0.08589354,0.08332784,0.10745262,0.08982686,0.08335534,1.33462755e-01,1.91434311e-01,1.33427677e-01,3.21552550e-02
141,0.10684297,0.11847637,0.08582262,0.08331673,0.10703360,0.08971645,0.08335019,1.32816232e-01,1.90235184e-01,1.33493616e-01,3.23809825e-02
142,0.10676704,0.11847224,0.08573541,0.08329460,0.10695866,0.08972706,0.08334310,1.32691645e-01,1.90275268e-01,1.33766275e-01,3.24481203e-02
143,0.10666310,0.11838695,0.08574044,0.08327355,0.10685500,0.08968500,0.08333468,1.33345583e-01,1.90288786e-01,1.33760452e-01,3.20954538e-02
144,0.10707021,0.11834348,0.08587659,0.08329101,0.10726051,0.08964678,0.08332890,1.32597075e-01,1.90058449e-01,1.33346505e-01,3.21972682e-02
145,0.10689271,0.11827187,0.08580633,0.08325598,0.10708500,0.08971658,0.08332018,1.33275552e-01,1.90332567e-01,1.33607223e-01,3.24543114e-02
146,0.10683215,0.11831447,0.08580794,0.08320565,0.10702466,0.08964956,0.08330720,1.33814418e-01,1.90799704e-01,1.33618300e-01,3.22268446e-02
147,0.10678676,0.11829152,0.08573419,0.08321261,0.10697737,0.08969356,0.08329645,1.32905534e-01,1.89122956e-01,1.32972499e-01,3.25966267e-02
148,0.10641067,0.11840033,0.08567501,0.08332254,0.10660203,0.08975478,0.08329770,1.33082503e-01,1.90190151e-01,1.33467408e-01,3.25041173e-02
149,0.10664017,0.11846273,0.08569664,0.08330822,0.10683196,0.08971014,0.08329752,1.33565868e-01,1.90598223e-01,1.33438347e-01,3.25387444e-02
150,0.10669534,0.11852518,0.08578535,0.08334490,0.10688606,0.08974822,0.08330113,1.32477231e-01,1.91551561e-01,1.33354388e-01,3.25077778e-02
151,0.10648017,0.11839706,0.08563964,0.08332706,0.10667197,0.08975548,0.08330254,1.33270559e-01,1.91467371e-01,1.33436257e-01,3.26795553e-02
152,0.10638505,0.11830604,0.08565230,0.08327349,0.10657690,0.08965516,0.08329783,1.33535380e-01,1.90658620e-01,1.33614389e-01,3.28333323e-02
153,0.10657509,0.11834642,0.08570453,0.08326523,0.10676583,0.08979161,0.08329323,1.32798814e-01,1.91388249e-01,1.33438252e-01,3.26889221e-02
154,0.10638833,0.11827275,0.08564690,0.08329166,0.10657994,0.08976901,0.08329207,1.33242640e-01,1.91320876e-01,1.33377887e-01,3.22700702e-02
155,0.10660441,0.11818759,0.08568669,0.08324637,0.10679648,0.08968016,0.08328653,1.34146319e-01,1.91538343e-01,1.33112298e-01,3.25413133e-02
156,0.10622564,0.11816831,0.08554159,0.08324974,0.10641839,0.08975232,0.08328182,1.33531804e-01,1.91236993e-01,1.33722385e-01,3.24176795e-02
157,0.10613750,0.11823077,0.08557680,0.08323960,0.10632987,0.08971458,0.08327661,1.33707065e-01,1.91820892e-01,1.33435060e-01,3.26015678e-02
158,0.10617425,0.11826888,0.08553131,0.08328395,0.10636709,0.08963580,0.08327615,1.33840428e-01,1.91305824e-01,1.33717206e-01,3.23110834e-02
159,0.10639869,0.11822379,0.08563665,0.08323373,0.10659129,0.08961143,0.08327076,1.33865343e-01,1.90892351e-01,1.33455108e-01,3.23219392e-02
160,0.10648380,0.11823825,0.08569370,0.08328721,0.10667649,0.08964222,0.08327095,1.34260857e-01,1.90976266e-01,1.33198054e-01,3.21038028e-02
161,0.10659164,0.11816738,0.08563574,0.08326526,0.10678392,0.08967785,0.08326944,1.33254319e-01,1.92009500e-01,1.33442839e-01,3.22304164e-02
162,0.10586155,0.11814929,0.08548344,0.08326715,0.10605427,0.08974419,0.08326826,1.33909551e-01,1.91977557e-01,1.33808947e-01,3.20894042e-02
163,0.10637389,0.11820764,0.08563334,0.08327234,0.10656748,0.08973384,0.08326799,1.34056449e-01,1.91543368e-01,1.33710409e-01,3.18023433e-02
164,0.10594021,0.11823496,0.08544496,0.08327676,0.10613374,0.08970557,0.08326813,1.33926357e-01,1.92464454e-01,1.33620321e-01,3.21663550e-02
165,0.10632851,0.11832597,0.08562512,0.08327009,0.10652082,0.08974195,0.08326750,1.34042583e-01,1.93268969e-01,1.33044984e-01,3.22433790e-02
