epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
168,0.08417228,0.10852227,0.07549109,0.07977930,0.09092441,0.07968824,1.43943753e-01,2.80716822e-01,1.38468216e-01,7.31666593e-02
169,0.08406928,0.10844374,0.07543494,0.07956908,0.09081110,0.07966118,1.44309596e-01,2.81198358e-01,1.37865786e-01,7.27344465e-02
170,0.08376253,0.10902451,0.07531509,0.07979460,0.09043933,0.07965783,1.43963070e-01,2.80416474e-01,1.36777032e-01,7.25309007e-02
171,0.08379985,0.10906692,0.07531625,0.07989254,0.09043689,0.07966823,1.44347322e-01,2.76056889e-01,1.36285901e-01,7.23673565e-02
172,0.08372979,0.10906179,0.07534149,0.07977205,0.09034378,0.07966010,1.44203078e-01,2.76166346e-01,1.36354278e-01,7.18800907e-02
173,0.08373123,0.10910742,0.07531106,0.07981984,0.09030862,0.07966208,1.44052805e-01,2.75609302e-01,1.35637018e-01,7.14843045e-02
174,0.08366085,0.10800229,0.07526969,0.07949894,0.09021308,0.07963127,1.44268306e-01,2.74326291e-01,1.35135099e-01,7.12427706e-02
175,0.08359167,0.10930884,0.07525627,0.07972333,0.09009579,0.07962397,1.44007260e-01,2.73205195e-01,1.34382493e-01,7.10732640e-02
176,0.08359869,0.10903288,0.07525177,0.07971024,0.09005922,0.07961920,1.43880156e-01,2.72671563e-01,1.33820621e-01,7.08365099e-02
177,0.08345312,0.10861492,0.07518514,0.07976082,0.08989753,0.07961753,1.44507624e-01,2.70725476e-01,1.33275995e-01,7.07656129e-02
178,0.08349632,0.10831236,0.07515133,0.07971740,0.08988868,0.07961029,1.44401166e-01,2.70496951e-01,1.32359503e-01,7.02279724e-02
179,0.08343834,0.10875140,0.07519366,0.07961130,0.08981700,0.07959534,1.44706714e-01,2.67837725e-01,1.32486800e-01,6.98189870e-02
180,0.08341059,0.10836472,0.07518009,0.07970885,0.08973706,0.07959243,1.44353219e-01,2.66619326e-01,1.31425179e-01,7.01072549e-02
181,0.08317724,0.10930734,0.07511167,0.07979729,0.08950877,0.07960117,1.44722615e-01,2.67100999e-01,1.31267914e-01,6.97975709e-02
182,0.08319885,0.10895618,0.07509294,0.07969658,0.08947262,0.07959521,1.44482302e-01,2.62232162e-01,1.30787053e-01,6.93082826e-02
