epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
130,0.09487265,0.81978734,0.08200384,0.09156205,0.53118630,9.99826946e-02,6.41258099e-02,8.09390964e-02,2.71693796e-02
131,0.09464466,0.81924887,0.08194139,0.09160087,0.53093156,1.00611470e-01,6.36427886e-02,8.07860386e-02,2.70734240e-02
132,0.09450034,0.81974577,0.08185446,0.09158247,0.53007782,1.00531350e-01,6.36708348e-02,8.06963296e-02,2.72866623e-02
133,0.09449797,0.81979384,0.08186640,0.09160144,0.53034997,1.00426297e-01,6.36453213e-02,8.09850168e-02,2.72651625e-02
134,0.09468747,0.81978013,0.08195543,0.09156428,0.53081880,1.00554171e-01,6.35908587e-02,8.08950740e-02,2.73457801e-02
135,0.09445567,0.81992046,0.08184616,0.09158466,0.53024593,1.00471230e-01,6.35707558e-02,8.09120837e-02,2.72781661e-02
136,0.09466822,0.82010192,0.08188211,0.09164884,0.53054213,1.00781675e-01,6.40466625e-02,8.06729659e-02,2.76700807e-02
137,0.09439679,0.82090996,0.08182457,0.09175234,0.53031048,1.00727188e-01,6.44476979e-02,8.08334952e-02,2.74451966e-02
138,0.09448839,0.82061858,0.08191422,0.09148601,0.53060178,1.00671257e-01,6.35129690e-02,8.05529975e-02,2.76419381e-02
139,0.09416260,0.82363056,0.08175193,0.09193745,0.53004241,1.00994434e-01,6.39849516e-02,8.09113903e-02,2.77138043e-02
140,0.09420107,0.82164075,0.08174449,0.09175716,0.52999945,1.01354517e-01,6.44447454e-02,8.09288761e-02,2.76322666e-02
141,0.09406604,0.82376421,0.08170482,0.09193946,0.52875812,1.01070003e-01,6.44534258e-02,8.10329788e-02,2.75698845e-02
142,0.09426811,0.82411024,0.08176292,0.09190145,0.52968376,1.00825209e-01,6.41840054e-02,8.05527371e-02,2.76086888e-02
143,0.09397977,0.82530582,0.08165140,0.09198187,0.52877670,1.00773891e-01,6.47888797e-02,8.08552671e-02,2.75472271e-02
144,0.09384949,0.82525895,0.08162062,0.09203341,0.52853126,1.01572663e-01,6.41491792e-02,8.07823532e-02,2.77412621e-02
145,0.09391264,0.82543792,0.08163099,0.09200497,0.52844006,1.01381707e-01,6.46364453e-02,8.08177276e-02,2.78387878e-02
146,0.09389821,0.82539017,0.08165558,0.09202245,0.52885649,1.01480968e-01,6.45057832e-02,8.09283638e-02,2.79121555e-02
147,0.09377176,0.82559106,0.08158285,0.09205715,0.52812327,1.01261215e-01,6.47115047e-02,8.08487432e-02,2.80849475e-02
148,0.09375539,0.82508179,0.08155327,0.09206611,0.52790725,1.01352700e-01,6.43654552e-02,8.07825143e-02,2.80789347e-02
149,0.09382780,0.82493546,0.08157689,0.09204812,0.52834682,1.01498005e-01,6.42151592e-02,8.08403509e-02,2.79119014e-02
150,0.09365987,0.82497606,0.08153427,0.09204475,0.52781169,1.01614535e-01,6.43351846e-02,8.08652850e-02,2.79297224e-02
151,0.09375370,0.82549190,0.08155192,0.09209421,0.52839876,1.01371059e-01,6.53163609e-02,8.08248840e-02,2.79488174e-02
152,0.09379439,0.82531278,0.08160833,0.09208766,0.52881282,1.02082869e-01,6.51069848e-02,8.08942964e-02,2.79766517e-02
153,0.09366402,0.82862145,0.08150511,0.09234179,0.52797366,1.01474469e-01,6.41728908e-02,8.08008575e-02,2.82321977e-02
154,0.09356634,0.82710191,0.08148598,0.09217596,0.52789234,1.01933893e-01,6.47271147e-02,8.09347340e-02,2.79770802e-02
155,0.09351011,0.82666174,0.08148511,0.09230711,0.52770974,1.01625975e-01,6.46185718e-02,8.07886812e-02,2.81166241e-02
156,0.09349698,0.82606271,0.08147731,0.09229739,0.52764314,1.01754063e-01,6.44656912e-02,8.08481227e-02,2.82786821e-02
157,0.09333438,0.82742807,0.08143769,0.09219174,0.52714839,1.02296851e-01,6.48669421e-02,8.06850320e-02,2.81900313e-02
158,0.09336185,0.82719816,0.08139896,0.09230041,0.52708909,1.02276273e-01,6.43476549e-02,8.07029093e-02,2.81807867e-02
159,0.09321974,0.82841575,0.08136817,0.09228041,0.52690378,1.02246931e-01,6.42231110e-02,8.08828988e-02,2.81571570e-02
160,0.09315395,0.82961075,0.08134563,0.09235440,0.52595781,1.02379380e-01,6.51418898e-02,8.07182165e-02,2.82286755e-02
161,0.09324597,0.82846839,0.08137941,0.09232170,0.52660604,1.02292560e-01,6.41798539e-02,8.06518486e-02,2.81432518e-02
162,0.09306915,0.82811456,0.08128910,0.09228598,0.52589559,1.02336669e-01,6.44213078e-02,8.08915184e-02,2.81828124e-02
163,0.09305994,0.82943107,0.08129438,0.09239623,0.52588045,1.02243229e-01,6.41237751e-02,8.08511580e-02,2.82791913e-02
164,0.09322867,0.82903415,0.08134634,0.09238251,0.52635874,1.02421550e-01,6.45037766e-02,8.04789730e-02,2.82152618e-02
165,0.09300598,0.82907608,0.08126577,0.09238270,0.52575085,1.02137806e-01,6.42386351e-02,8.06102180e-02,2.82774056e-02
166,0.09299581,0.83086678,0.08128039,0.09244267,0.52582384,1.02314366e-01,6.46598833e-02,8.08095959e-02,2.83443420e-02
167,0.09310872,0.82674866,0.08131999,0.09214535,0.52692861,1.02383599e-01,6.52004461e-02,8.05838359e-02,2.83681944e-02
168,0.09299606,0.82921254,0.08126755,0.09243274,0.52595558,1.02327407e-01,6.45249718e-02,8.08811829e-02,2.82991615e-02
169,0.09292505,0.82924936,0.08125257,0.09226678,0.52637398,1.02896359e-01,6.40107945e-02,8.07675156e-02,2.87213535e-02
170,0.09284651,0.83178161,0.08123024,0.09244716,0.52552635,1.02190056e-01,6.52169522e-02,8.06556631e-02,2.84283601e-02
171,0.09267597,0.83256521,0.08117460,0.09254535,0.52463803,1.02792240e-01,6.53831648e-02,8.07937309e-02,2.86858666e-02
172,0.09287706,0.83025751,0.08120937,0.09245650,0.52528359,1.02694254e-01,6.45523478e-02,8.07859177e-02,2.84511386e-02
173,0.09276804,0.83123020,0.08114428,0.09242974,0.52526163,1.02835063e-01,6.56951149e-02,8.10709496e-02,2.84821247e-02
174,0.09271005,0.83008132,0.08113626,0.09235587,0.52534523,1.02858081e-01,6.51377338e-02,8.08530134e-02,2.83858707e-02
175,0.09257076,0.83002246,0.08110131,0.09232750,0.52419667,1.02843140e-01,6.43289236e-02,8.07308282e-02,2.84633235e-02
