epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
141,0.11496379,0.11331361,0.08781639,0.08135206,0.12163750,0.08159213,1.08717272e-01,2.89187806e-01,1.48461523e-01,8.24068638e-02
142,0.11467494,0.11326218,0.08769231,0.08137085,0.12129963,0.08156357,1.09317300e-01,2.84046382e-01,1.47638247e-01,8.23248250e-02
143,0.11454177,0.11307695,0.08767410,0.08140126,0.12113685,0.08153906,1.08286000e-01,2.84699536e-01,1.47285707e-01,8.17517363e-02
144,0.11462332,0.11311770,0.08764457,0.08125418,0.12119604,0.08150287,1.08876014e-01,2.84749274e-01,1.46936105e-01,8.13913795e-02
145,0.11448195,0.11273021,0.08760444,0.08124150,0.12098281,0.08146970,1.08912767e-01,2.84602681e-01,1.45225056e-01,8.25935218e-02
146,0.11431636,0.11252655,0.08759404,0.08117900,0.12074259,0.08143341,1.08623784e-01,2.78609691e-01,1.45619163e-01,8.11125836e-02
147,0.11458756,0.11289361,0.08769409,0.08123510,0.12093536,0.08140705,1.09158425e-01,2.77221286e-01,1.43937430e-01,8.12367250e-02
148,0.11426131,0.11288265,0.08752035,0.08119338,0.12061572,0.08137925,1.09576457e-01,2.79775971e-01,1.43519375e-01,8.05821479e-02
149,0.11429057,0.11287417,0.08757447,0.08120385,0.12055234,0.08135454,1.09601921e-01,2.75811740e-01,1.42609585e-01,8.07481245e-02
150,0.11424714,0.11253924,0.08755862,0.08117676,0.12049883,0.08132711,1.08807103e-01,2.75250652e-01,1.42703667e-01,8.01517300e-02
151,0.11358879,0.11266504,0.08739892,0.08116245,0.11982462,0.08130479,1.09821766e-01,2.75450544e-01,1.41625849e-01,7.97759404e-02
152,0.11390947,0.11217129,0.08741234,0.08110156,0.12005925,0.08127788,1.09516868e-01,2.69949277e-01,1.40948963e-01,7.96698900e-02
153,0.11374155,0.11236570,0.08737710,0.08102624,0.11983818,0.08124564,1.09593590e-01,2.71535913e-01,1.40003602e-01,7.95767684e-02
154,0.11377396,0.11213212,0.08740317,0.08100664,0.11984292,0.08121388,1.09529749e-01,2.68805338e-01,1.40275572e-01,7.90110531e-02
155,0.11367953,0.11243939,0.08736349,0.08107480,0.11968510,0.08119618,1.09523303e-01,2.65266830e-01,1.38727259e-01,7.92922303e-02
156,0.11397658,0.11248000,0.08749503,0.08118261,0.11995129,0.08118627,1.09749248e-01,2.66527523e-01,1.38124182e-01,7.86189169e-02
157,0.11343902,0.11232120,0.08724548,0.08098889,0.11933872,0.08116074,1.10079037e-01,2.63193944e-01,1.37184124e-01,7.85687037e-02
158,0.11343323,0.11219167,0.08728172,0.08108680,0.11932350,0.08114437,1.08741430e-01,2.64334939e-01,1.37199290e-01,7.84057183e-02
159,0.11334008,0.11206702,0.08721473,0.08108377,0.11922403,0.08113246,1.10240794e-01,2.59996451e-01,1.36590379e-01,7.77432807e-02
160,0.11344854,0.11182766,0.08727952,0.08101833,0.11920656,0.08111272,1.08975890e-01,2.60840931e-01,1.35628389e-01,7.72016884e-02
161,0.11352302,0.11200603,0.08726932,0.08094232,0.11926468,0.08108977,1.10407769e-01,2.57336595e-01,1.34633576e-01,7.71204992e-02
162,0.11321067,0.11197873,0.08718081,0.08093562,0.11892734,0.08106447,1.10223754e-01,2.57240500e-01,1.34054848e-01,7.74377163e-02
163,0.11312418,0.11156031,0.08720071,0.08086094,0.11882753,0.08103686,1.10730587e-01,2.56501112e-01,1.33938646e-01,7.66277425e-02
164,0.11295945,0.11175755,0.08712685,0.08092405,0.11858610,0.08101840,1.10427917e-01,2.53651182e-01,1.32934811e-01,7.64830678e-02
165,0.11303976,0.11174640,0.08712932,0.08103802,0.11866670,0.08101293,1.11103103e-01,2.54039540e-01,1.32394092e-01,7.65162141e-02
166,0.11307525,0.11187620,0.08711890,0.08090346,0.11857996,0.08099410,1.09061626e-01,2.50350692e-01,1.31894261e-01,7.57813987e-02
167,0.11302842,0.11180494,0.08716455,0.08093328,0.11854581,0.08097962,1.10437924e-01,2.48776265e-01,1.31230474e-01,7.55394744e-02
168,0.11306124,0.11145423,0.08710965,0.08079079,0.11855326,0.08095464,1.10299631e-01,2.49604590e-01,1.30413647e-01,7.56349317e-02
169,0.11282772,0.11163818,0.08699736,0.08090525,0.11828066,0.08094370,1.10936994e-01,2.43458459e-01,1.30577653e-01,7.55819082e-02
170,0.11271337,0.11120421,0.08696353,0.08071066,0.11812063,0.08091480,1.10855440e-01,2.46349320e-01,1.29560472e-01,7.52780782e-02
171,0.11275054,0.11154033,0.08699885,0.08090256,0.11813669,0.08090633,1.10359130e-01,2.46953514e-01,1.29892541e-01,7.43986338e-02
172,0.11289126,0.11135301,0.08701445,0.08080355,0.11820536,0.08088900,1.09996731e-01,2.43211836e-01,1.28842107e-01,7.39987504e-02
173,0.11250591,0.11112959,0.08699511,0.08065488,0.11783116,0.08085936,1.10473118e-01,2.43025684e-01,1.28266309e-01,7.42709045e-02
174,0.11248692,0.11120813,0.08692019,0.08065994,0.11775907,0.08083325,1.10875714e-01,2.44932374e-01,1.27184142e-01,7.32816963e-02
175,0.11193974,0.11134550,0.08679714,0.08066561,0.11719211,0.08080934,1.11181649e-01,2.40462292e-01,1.27574807e-01,7.30269395e-02
176,0.11227307,0.11145354,0.08687816,0.08091495,0.11750339,0.08081494,1.11619264e-01,2.37427006e-01,1.27474667e-01,7.28562691e-02
177,0.11216993,0.11166919,0.08682023,0.08081578,0.11736376,0.08080525,1.11159903e-01,2.37763155e-01,1.26169047e-01,7.32024307e-02
178,0.11240498,0.11130726,0.08687345,0.08071918,0.11755504,0.08079306,1.11126257e-01,2.38133190e-01,1.26506428e-01,7.22526736e-02
179,0.11190413,0.11132864,0.08673236,0.08094577,0.11702097,0.08079963,1.11681125e-01,2.35364329e-01,1.25000549e-01,7.24330323e-02
180,0.11223917,0.11142249,0.08685626,0.08072449,0.11730763,0.08078781,1.10746807e-01,2.33858629e-01,1.25190008e-01,7.23693937e-02
181,0.11230376,0.11113612,0.08684014,0.08078946,0.11734498,0.08078365,1.11267029e-01,2.33365232e-01,1.24516114e-01,7.15793793e-02
182,0.11198653,0.11129689,0.08673744,0.08077028,0.11700167,0.08077618,1.11980484e-01,2.30782467e-01,1.23594557e-01,7.16103865e-02
