epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
112,0.10824907,0.11834093,0.08635786,0.08318220,0.10910443,0.08959127,0.08324041,1.25882228e-01,1.83540763e-01,1.24217853e-01,4.20306388e-02
113,0.10833597,0.11844617,0.08626374,0.08315181,0.10920919,0.08969997,0.08322963,1.28895523e-01,1.83454194e-01,1.24585085e-01,4.16857162e-02
114,0.10810698,0.11843412,0.08622489,0.08315716,0.10897624,0.08971236,0.08322041,1.27343801e-01,1.83614172e-01,1.24739051e-01,4.07952083e-02
115,0.10819101,0.11852278,0.08626314,0.08323924,0.10905679,0.08962563,0.08322032,1.27229946e-01,1.85153208e-01,1.24310865e-01,4.13922886e-02
116,0.10821162,0.11853132,0.08628504,0.08323972,0.10908162,0.08967391,0.08322033,1.27492305e-01,1.86384698e-01,1.24586796e-01,4.14611043e-02
117,0.10786021,0.11840853,0.08616510,0.08316238,0.10873400,0.08960181,0.08321251,1.27756084e-01,1.85708658e-01,1.24402044e-01,4.10669975e-02
118,0.10828350,0.11856515,0.08630373,0.08320962,0.10914441,0.08957166,0.08320976,1.27359574e-01,1.84402756e-01,1.24278018e-01,4.10958654e-02
119,0.10813638,0.11833713,0.08622721,0.08319857,0.10900882,0.08957472,0.08320652,1.27413906e-01,1.85688953e-01,1.24903003e-01,4.11069673e-02
120,0.10794899,0.11831483,0.08616586,0.08321610,0.10881712,0.08962131,0.08320539,1.28153567e-01,1.85076573e-01,1.24698206e-01,4.11090342e-02
121,0.10763661,0.11831274,0.08609616,0.08310416,0.10850999,0.08946829,0.08319345,1.28576110e-01,1.84213293e-01,1.24618934e-01,4.08244350e-02
122,0.10761766,0.11824775,0.08618389,0.08315079,0.10849215,0.08949758,0.08318701,1.28414658e-01,1.84301920e-01,1.25014658e-01,4.08331453e-02
123,0.10785084,0.11830272,0.08612061,0.08315683,0.10872311,0.08953160,0.08318235,1.28059517e-01,1.84610767e-01,1.24661308e-01,4.07442760e-02
124,0.10785677,0.11820492,0.08609514,0.08310715,0.10872775,0.08940042,0.08317339,1.28020618e-01,1.85113874e-01,1.24604825e-01,4.10713807e-02
125,0.10723695,0.11817291,0.08592662,0.08315168,0.10811473,0.08947030,0.08316931,1.28545631e-01,1.85335859e-01,1.25103439e-01,4.06957727e-02
126,0.10777976,0.11828246,0.08612325,0.08320272,0.10865445,0.08947183,0.08317045,1.28292859e-01,1.86056980e-01,1.24461337e-01,4.11549082e-02
127,0.10702563,0.11832464,0.08586494,0.08316881,0.10790463,0.08949428,0.08316831,1.29483643e-01,1.85751906e-01,1.24693803e-01,4.11725601e-02
128,0.10744305,0.11827934,0.08604814,0.08316586,0.10831707,0.08940778,0.08316653,1.28332089e-01,1.86783787e-01,1.24597912e-01,4.06148632e-02
129,0.10728189,0.11809226,0.08597478,0.08312886,0.10815584,0.08950213,0.08316101,1.28927354e-01,1.86627873e-01,1.24514975e-01,4.06644267e-02
130,0.10703344,0.11804515,0.08592416,0.08314394,0.10791340,0.08950432,0.08315753,1.29230495e-01,1.85284773e-01,1.24535207e-01,4.07901376e-02
131,0.10711434,0.11818977,0.08591220,0.08319080,0.10799523,0.08954226,0.08315904,1.29113411e-01,1.86219279e-01,1.25067844e-01,4.10329097e-02
132,0.10708776,0.11813492,0.08591688,0.08314868,0.10796951,0.08938135,0.08315695,1.29139650e-01,1.85955410e-01,1.24865247e-01,4.11728063e-02
133,0.10726773,0.11803385,0.08594714,0.08311148,0.10813819,0.08948156,0.08315068,1.27766864e-01,1.86625699e-01,1.24263930e-01,4.12071935e-02
134,0.10716703,0.11807636,0.08589282,0.08316635,0.10804342,0.08948921,0.08315100,1.28912987e-01,1.86126968e-01,1.24182983e-01,4.11475683e-02
135,0.10702108,0.11823297,0.08585043,0.08319350,0.10790138,0.08941271,0.08315390,1.29251252e-01,1.86051515e-01,1.24651942e-01,4.11686595e-02
136,0.10726750,0.11808688,0.08594154,0.08314809,0.10814597,0.08949364,0.08315226,1.28752871e-01,1.86229452e-01,1.24602648e-01,4.13183661e-02
137,0.10704413,0.11813396,0.08587136,0.08316670,0.10792853,0.08951698,0.08315254,1.29585684e-01,1.86411733e-01,1.24538608e-01,4.14361965e-02
138,0.10701284,0.11820155,0.08588865,0.08315203,0.10789604,0.08945679,0.08315117,1.29238606e-01,1.87204938e-01,1.24682055e-01,4.18537176e-02
139,0.10703226,0.11818397,0.08586975,0.08317222,0.10791179,0.08944518,0.08315192,1.28749141e-01,1.87336886e-01,1.24486269e-01,4.16412128e-02
140,0.10706603,0.11814316,0.08583563,0.08313915,0.10795031,0.08949070,0.08314931,1.29961932e-01,1.87583149e-01,1.24372830e-01,4.15763849e-02
141,0.10656879,0.11817082,0.08573099,0.08315197,0.10745026,0.08944694,0.08314837,1.29283018e-01,1.86752545e-01,1.24824353e-01,4.17912526e-02
142,0.10661712,0.11816116,0.08566885,0.08312037,0.10750263,0.08935813,0.08314421,1.29308018e-01,1.87034716e-01,1.24824908e-01,4.19403081e-02
143,0.10641647,0.11803566,0.08564320,0.08309258,0.10730142,0.08930900,0.08313782,1.29829526e-01,1.86451022e-01,1.24843553e-01,4.15499203e-02
144,0.10690697,0.11799103,0.08581707,0.08308379,0.10778910,0.08927266,0.08313099,1.29325784e-01,1.86416795e-01,1.24641475e-01,4.17130384e-02
145,0.10679181,0.11795140,0.08578563,0.08308633,0.10768134,0.08938913,0.08312512,1.30042214e-01,1.86503993e-01,1.24723081e-01,4.14139862e-02
146,0.10667206,0.11801661,0.08575601,0.08305489,0.10756141,0.08932679,0.08311712,1.30266024e-01,1.86932977e-01,1.24694229e-01,4.14813969e-02
147,0.10653004,0.11796862,0.08565533,0.08307015,0.10741430,0.08938949,0.08311107,1.29623963e-01,1.85552499e-01,1.24450555e-01,4.20042394e-02
148,0.10628786,0.11806303,0.08564473,0.08314401,0.10716991,0.08937583,0.08311296,1.29815747e-01,1.86486378e-01,1.24232871e-01,4.17067892e-02
149,0.10641769,0.11817714,0.08559588,0.08315482,0.10730617,0.08934114,0.08311615,1.30278359e-01,1.86500506e-01,1.24570428e-01,4.17421764e-02
